SName,Lyric,Artist,Songs,Popularity,Genre,Genres
Porto Sentido,"Quem vem e atravessa o rio. Junto à serra do pilar. Vê um velho casario. Que se estende até ao mar. Quem te vê ao vir da ponte. És cascata, são-joanina. Dirigida sobre um monte. No meio da neblina.. Por ruelas e calçadas. Da ribeira até à foz. Por pedras sujas e gastas. E lampiões tristes e sós.. E esse teu ar grave e sério. Dum rosto e cantaria. Que nos oculta o mistério. Dessa luz bela e sombria. [refrão]. Ver-te assim abandonada. Nesse timbre pardacento. Nesse teu jeito fechado. De quem mói um sentimento. E é sempre a primeira vez. Em cada regresso a casa. Rever-te nessa altivez. De milhafre ferido na asa",Maria Rita,140,2.8,Samba,Bossa Nova; Samba; MPB; Pop; Trilha Sonora; Romântico; Sertanejo; Pagode; Jazz; Black Music
Mãos,"Mãos, se rendem. Pra outras que tudo levam. Quase em extinção. Mãos honestas, amorosas. Em nossas pobres mãos. Que batem as cordas. Pago pra ver. Quei...mar em brasa. As mãos de bacharéis. Que não condenam o mal. Que inocentam reús. Em troca do vil metal. As mãos de bacharéis. Que não condenam o mal. Que inocentam reús. Em troca do vil metal. Mãos de infiéis. Revés que não contentam. Movendo a diretriz tão fraudulenta. Sem réu e sem juiz. Mãos não se acorrentam. Justiça põe as mãos na consciência. Ato que fez Pilatos. Lavando suas mãos. É o mesmo que injustiça. feita com as próprias mãos. As mãos que fracassaram. Na torre de Babel. Porque desafiaram. As mãos do céu",Almir Guineto,66,1.2,Samba,Samba; Pagode; Velha Guarda; Axé; Dance; MPB
Sargento,"O sargento pediu documento. A um elemento sujo de cimento. Ele disse ""Doutor eu trabalho faz tempo. Mas minha carteira tá cheia de vento"". Que papel estranho é esse?. Alistamento!. Tá vindo de onde, tá indo pra onde?. Pro juramento do meu aposento. E o pó que carrego no bolso. é talco pro meu cão sarnento. E o mato com presente dentro é erva fina pro meu suprimento.. Esporte, isso é que é sorte. Acaba qualquer sofrimento. Mas não vem com esse papo de arrego. Que vai onerar meu orçamento",Arlindo Cruz,201,5.2,Samba,Samba; Pagode; Samba Enredo; Romântico; Axé; Reggae; Velha Guarda; Black Music; Forró; Funk
Casa de Samba,"SEXTA EU SUBO PRO MORRO. SÓ VOLTO SEGUNDA DE LA. NO MORRO TEM CASA DE SAMBA. TEM SAMBA PRA GENTE SAMBAR. BATIDO NA PALMA. NA RODA DE SAMBA PRA IMPROVISAR. QUERO VER VOCÊ SORRIR. QUERO VER VOCÊ DANÇAR. NASCI E CRESCI NO MUNDO DO SAMBA. SOU FILHO DE SANTO. NÃO POSSO NEGAR, AXÉA SEU MAREA MANHIA SAN RAINHA DO MAR.... ELA TEM, ELA TEM, ELA TEM O GINGADO NO PÉ ENHE, ENHE. ELA TEM O GINGADO NO PÉ. TODA VEZ QUE EU SOBIA NO MORRO EU ENCOTRAVA UMA CRIOLA. BACANA MAS SÓ QUE A NEGRA TOMAVA UMA CANA. E SABE O QUE A NEGRA ME DISSE?. O QUE?. QUE ELA TEM O GINGADO NO PÉ...",Art Popular,184,3.2,Samba,Pagode; Samba; Romântico; Dance; Pop; Hip Hop; Power-Pop; Hard Rock; Bossa Nova; Rap; Trilha Sonora; Sertanejo
Não Sou Feliz Sem Você,"Venho torturado sem muitas palavras. Pra dizer que espero apenas o seu perdão. Tenho algumas desculpas deslavadas. Mas você tem o direito de dizer não, não. Peço que me ouça ao menos. Não me dê as costas falo de coração. Por tudo que vivemos mereço sua atenção. Sei que existiram erros. Não fui verdadeiro, deixo em suas mãos. Você tem o direito de acreditar ou não, que.... Depois da arrogância me senti perdido. Depois que você se foi veio a solidão e a dor. Sem você nada mais é divertido. Orgulho e vaidade pra que?. Se eu não sou feliz sem você. Quero compensar faze-la esquecer. Escrever nossa historia me comprometer. Faz a arrogância me senti perdido. Depois que você se foi e veio a solidão e a dor. Sem você nada mais é divertido. Orgulho e vaidade pra que?. Se eu não sou feliz sem você. E quero compensar faze-la esquecer. Escrever nossa historia me comprometer. Peço que me ouça ao menos. Não me dê as costas falo de coração. Por tudo que vivemos mereço sua atenção. Sei que existiram erros. Não fui verdadeiro, deixo em suas mãos. Você tem o direito de acreditar ou não. Faz a arrogância me senti perdido. Depois que você se foi veio a solidão e a dor. Sem você nada mais é divertido. Orgulho e vaidade pra que?. Se eu não sou feliz sem você. Quero compensar faze-la esquecer. Escrever nossa historia me comprometer. Faz a arrogância me senti perdido. Depois que você se foi veio a solidão e a dor. Pois sem você nada mais é divertido. Orgulho e vaidade pra que?. Se eu não sou feliz sem você. Quero compensar faze-la esquecer. Escrever nossa historia me comprometer",Belo,236,14.7,Samba,Romântico; Pagode; Samba; Trilha Sonora; Axé; Funk Carioca; Black Music; Funk; Gospel/Religioso; Sertanejo; Psicodelia; Piano Rock; Soul Music; World Music; Disco; Country; Blues; Pop; Bossa Nova; Hip Hop
Bata da Vovó,"Vovó nunca pediu nada. Foi você quem prometeu. Dar uma bata a vovó. E até hoje não deu. Vovó nunca pediu nada. Foi você quem prometeu. Dar uma bata a vovó. E até hoje não deu. Você anda desviado, passando fome, dormindo na rua. Vovó fez trabalho forte, sua sorte continua. Agora você tem bango, já se esqueceu da vovó. Olha que dor de barriga muleque, nunca dá uma vez só. Vovó nunca pediu nada. Foi você quem prometeu. Dar uma bata a vovó. E até hoje não deu. Mas vovó nunca lhe pediu nada. Foi você mesmo quem prometeu. Você disse que dava uma bata a vovó. E até hoje não deu. Não brinca com preta-velha por que ela faz uma boa contigo. Ela sabe que quando você tava preso entregava ouro na mão dos bandidos. Se sexta-feira que vem você não fizer o que lhe prometeu. Vou bagunçar teu coreto moleque, você vai ver quem sou eu. Vovó nunca pediu nada. Foi você quem prometeu. Dar uma bata a vovó. E até hoje não deu. Mas vovó nunca lhe pediu nada. Foi você mesmo quem prometeu. Você disse que dava uma bata a vovó. E até hoje não deu. Você anda desviado, passando fome, dormindo na rua. Vovó fez trabalho forte, sua sorte continua. Agora você tem bango, já se esqueceu da vovó. Olha que dor de barriga muleque, nunca dá uma vez só. Vovó nunca pediu nada. Foi você quem prometeu. Dar uma bata a vovó. E até hoje não deu. Mas vovó nunca lhe pediu nada. Foi você mesmo quem prometeu. Você disse que dava uma bata a vovó. E até hoje não deu. Não brinca com preta-velha por que ela faz uma boa contigo. Ela sabe que quando você tava preso entregava ouro na mão dos bandidos. Se sexta-feira que vem você não fizer o que lhe prometeu. Vou bagunçar teu coreto moleque, você vai ver quem sou eu. Vovó nunca pediu nada. Foi você quem prometeu. Dar uma bata a vovó. E até hoje não deu. Mas vovó nunca lhe pediu nada. Foi você mesmo quem prometeu. Você disse que dava uma bata a vovó. E até hoje não deu",Bezerra da Silva,292,2.9,Samba,Pagode; Samba; MPB; Instrumental; Axé; Heavy Metal; Blues; Black Music; Electro Swing; Bossa Nova; Soft Rock; Funk Carioca; Country
Água da Minha Sede,Eu preciso do seu amor. Paixão forte me domina. Agora que começou. Não sei mais como termina. Água da minha sede. Bebo na sua fonte. Sou peixe na sua rede. Por do sol no seu horizonte. Quando você sambou na roda. Quando você sambou na roda. Fiquei afim de te namorar. Fiquei afim de te namorar. O amor tem essa história. Se bate já quer entrar. Se entra não quer sair. Ninguém sabe explicar. O meu amor é passarinheiro. O meu amor é passarinheiro. Ele só quer passarinhar. Ele só quer passarinhar. Seu beijo é um alçapão. Seu abraço é uma gaiola. Que prende meu coração. Que nem moda de viola. Na gandaia (na gandaia). Fruto do seu amor me pegou (na gandaia). Sua renda me rodou (foi a gira). Foi cangira que me enfeitiçou. Apaixonado. Preciso do seu amor,Dudu Nobre,97,0.9,Samba,Samba; Samba Enredo; Pagode; Romântico; Reggaeton; Axé; Reggae
Teleco Teco N°2,Teleco teco. Teleco teco. Teleco teco. Teleco teco. Quem foi quem disse que o samba tem. Origem lá no morro meu bem. Samba nasce em qualquer lugar. Não dou exemplo pra não dar o que falar. Quando se tem ao lado um alguém. Com esse ritmo que é nosso também. não é privilégio de ninguém,Elza Soares,148,1.5,Samba,Samba; MPB; Jazz; Bossa Nova; Soul Music; Black Music; Pop; Blues; Samba Enredo
Eu Prometo,"Eu quis cantar esta canção. Pra tocar o teu coração. E declarar o meu amor. Você é o sonho que sonhei,. A esperança que encontrei. Pra entregar o meu melhor. Com você é diferente. O nosso amor é um presente. Manter acesa a chama. É o desejo de quem ama. Nosso amor é um abrigo. Que nos livra do perigo. Viver em comunhão. É o segredo da união. Eu prometo ir amor,. Ir aonde você for. O teu Deus é o meu Deus. E os teus sonhos são os meus. Eu prometo te amar. Nada vai nos separar. Cada voto meu e seu. Tem a aliança da promessa de Deus.",Harmonia do Samba,221,2.1,Samba,Axé; Samba; Pagode; Romântico; Electro Swing; Trilha Sonora; Pop/Rock; Rap; Bossa Nova
Moda de Barriga,"O dia que a barriga virar moda. realmente vai ser... fogo pra poder me aturar. ninguém vai resistir aos meus encantos. e a tv do Silvío Santos vai querer me contratar. o dia que a barriga virar moda. realmente vai ser... fogo pra poder me aturar. ninguém vai resistir aos meus encantos. e a tv do Silvío Santos vai querer me contratar. na Globo o galã vai ser o Jô. na Tupi, veja o senhor,. vai ser o Sérgio Cabral. na lista dentre os 10 mais elegantes. as presenças mais constantes. do Tim Maia e o Imperial. A Wilza vai fazer a Gabriela. no papel lá da novela e vai ser sensacional. Vinícius vai ganhar um novo ofício. vai ser manequim famoso da costura nacional. Os bares vão vender muita cerveja. e o padeiro, hora veja, vai vender muito mais pão. as moças pilúlas não vão tomar. e o Brasil vai aumentar a sua população. por isso realmente vai ser fogo. se a barriga virar moda. vai dar grande confusão.",João Nogueira,113,0.7,Samba,Samba; MPB; Bossa Nova; Pagode; Velha Guarda; Axé
